Type :,DIL805
Test :,200305 11 Aus 1000°C 30 min iso 740°C 15 min iso 700°C 2h q


;Time;Temperature;Change in Length;HF Power
 1;0.00000000;24.70125389;0.00000000;0.00000000
 2;0.10080600;24.69867706;-0.19090271;0.00000000
 3;0.20032801;24.74564171;-0.21272016;0.00000000
 4;0.30084801;24.78401184;-0.17999411;0.00000000
 5;0.40023699;24.98039055;-0.19635725;0.00000000
 6;0.50077200;24.73962784;-0.20726585;0.00000000
 7;0.60032398;24.72874451;-0.21272016;0.00000000
 8;0.70082301;24.47811317;-0.24271917;0.00000000
 9;0.80024397;24.98783493;-0.20726585;1.10477209
 10;0.90079099;24.75878906;-0.25090075;0.00000000
 11;1.00029004;24.60874557;-0.22635627;1.00754976
 12;1.10086000;24.65085030;-0.22908330;0.00000000
 13;1.20029104;24.81751060;-0.22090173;0.24596810
 14;1.30076504;24.50075150;-0.23999214;0.42804956
 15;1.40014994;24.60759926;-0.20999312;0.00000000
 16;1.50066495;24.63166046;-0.21544743;0.00000000
 17;1.60012102;24.94689941;-0.20999312;0.00000000
 18;1.70066202;24.67118263;-0.20453858;0.50868392
 19;1.80012202;24.66030121;-0.19090271;0.00000000
 20;1.90057695;24.78284645;-0.17726684;0.22243500
 21;2.00001693;24.86419678;-0.19635725;0.34752667
 22;2.10048604;25.05367470;-0.19090271;1.12054586
 23;2.20092702;24.95059776;-0.20453858;0.22247121
 24;2.30040193;24.65428925;-0.20181155;1.03811169
 25;2.40091705;24.71068192;-0.17726684;0.42336848
 26;2.50037694;24.91341209;-0.16090369;0.90718448
 27;2.60091400;24.69640923;-0.18544841;4.40144157
 28;2.70024896;25.45610237;-0.13635921;9.48790359
 29;2.80063701;27.33902359;0.21272016;10.61600876
 30;2.90103292;29.67983246;0.47180271;8.55965519
 31;3.00035596;30.59835052;0.62179756;6.98978806
 32;3.10072088;31.15110779;0.69815874;6.05971718
 33;3.20014095;32.24153137;0.79361010;5.84577656
 34;3.30053592;32.95248032;0.90542459;6.14174080
 35;3.40096092;34.01285553;1.00633049;5.99840355
 36;3.50030088;34.53219223;1.08541870;6.75283527
 37;3.60070109;35.27359009;1.22995949;8.16493607
 38;3.70002007;36.48208237;1.40995359;8.59750366
 39;3.80056500;37.97764206;1.57631159;8.19425392
 40;3.90002704;39.48263550;1.75085115;7.28112698
