Type :,DIL805
Test :,200306 15 Aus 1000°C 30 min iso 760°C 15 min iso 500°C 2h q


;Time;Temperature;Change in Length;HF Power
 1;0.00000000;27.90194511;0.00000000;0.00000000
 2;0.10074100;27.87999725;-0.20999312;0.00000000
 3;0.20018600;27.72751999;-0.18544841;0.00000000
 4;0.30070600;27.75186539;-0.22090173;1.36971712
 5;0.40019599;27.99271393;-0.20453882;0.00000000
 6;0.50071299;27.54213715;-0.22362900;0.00000000
 7;0.60015702;28.11146355;-0.22090173;0.00000000
 8;0.70068800;27.84635925;-0.20726585;0.00000000
 9;0.80014300;27.95541573;-0.22362900;0.00000000
 10;0.90068901;28.14269829;-0.21817470;0.00000000
 11;1.00016403;27.48248291;-0.20999312;0.00000000
 12;1.10062504;27.99193382;-0.17999411;0.00000000
 13;1.20008302;27.90353203;-0.18544841;0.00000000
 14;1.30056500;27.67239189;-0.20181155;0.00000000
 15;1.40104997;27.70601654;-0.20999312;0.00000000
 16;1.50048399;28.02072144;-0.19090271;0.00000000
 17;1.60099101;27.71982384;-0.20726585;0.00000000
 18;1.70046699;27.98582840;-0.20726585;0.89365244
 19;1.80098999;27.62978172;-0.22635627;0.00000000
 20;1.90050304;27.84716415;-0.20453882;0.38258195
 21;2.00098109;27.98582840;-0.21817470;0.00000000
 22;2.10047102;27.82041168;-0.21817470;0.43572545
 23;2.20094204;27.69594193;-0.20999312;1.07276976
 24;2.30039191;28.00327301;-0.24544644;0.17769754
 25;2.40090203;27.86541748;-0.19362998;0.00000000
 26;2.50042796;27.85005951;-0.21544743;0.00000000
 27;2.60091400;28.02840805;-0.19362998;0.00000000
 28;2.70033193;27.89661598;-0.20453882;0.15543386
 29;2.80087805;28.06042290;-0.22362900;0.96315253
 30;2.90034509;27.79974365;-0.22090173;4.77314425
 31;3.00075293;28.66355324;-0.11726880;9.27617645
 32;3.10013294;30.71004295;0.13635921;9.55568409
 33;3.20060301;32.55946350;0.35453367;7.40142393
 34;3.30098796;33.47938156;0.46907544;6.56845665
 35;3.40032697;34.38079071;0.59452581;5.87915325
 36;3.50075793;34.81443787;0.64634228;6.50473309
 37;3.60014296;35.70050812;0.76906538;6.99873161
 38;3.70062304;36.61117935;0.89724302;8.10236073
 39;3.80100799;37.75755310;1.05541968;7.98464966
 40;3.90034103;39.34691238;1.17268848;7.35246706
 41;4.00094318;40.39905167;1.31722927;7.05217314
 42;4.10041285;40.80277252;1.47813272;7.44731188
 43;4.20089293;41.90796661;1.56267548;7.34033060
 44;4.30032921;42.81342697;1.70994329;7.87475300
 45;4.40087414;43.88578033;1.88448334;7.76910496
 46;4.50038481;45.18318939;2.01538801;7.21067905
 47;4.60088921;46.22761917;2.06174994;6.78524780
 48;4.70024014;46.75302124;2.21719933;7.34869003
 49;4.80067492;47.82625198;2.33992290;7.35101604
 50;4.90010500;48.82339859;2.49537230;7.78857183
 51;5.00065899;49.90210724;2.65354872;7.94285536
 52;5.10014486;51.03819275;2.78445339;7.63967943
 53;5.20070124;52.25252914;2.92626715;7.29356384
