Type :,DIL805
Test :,200304 01 Aus 1000°C 5 min quench


;Time;Temperature;Change in Length;HF Power
 46;4.50077105;45.03153229;2.63991261;7.87711239
 47;4.60007381;45.87311935;2.83081532;7.40608215
 48;4.70058680;47.22307205;2.95899296;7.20978785
 49;4.80005503;48.03286362;3.06262589;7.25261116
 50;4.90054703;49.08801270;3.20716667;7.38278484
 51;5.00104094;50.07798386;3.30534506;7.20128965
 52;5.10052299;50.85356140;3.43897724;7.69163132
 53;5.20000601;51.91798019;3.58624506;7.83242273
 54;5.30057287;53.06613159;3.74169445;7.54332256
 55;5.40103817;54.10757065;3.82896423;7.64931393
 56;5.50045776;54.78405762;4.00350380;7.61858082
 57;5.60103416;56.08989334;4.13713598;7.71205425
 58;5.70055819;57.08622360;4.23531437;7.48063278
 59;5.80104113;57.90994263;4.39349127;7.89881897
 60;5.90050077;59.28847504;4.48621511;7.17865753
 61;6.00000477;60.04677963;4.65530062;7.42066193
 62;6.10049391;61.00095749;4.78893280;7.30072117
 63;6.20101500;61.77580261;4.91983747;7.85198784
 64;6.30044603;62.97728729;5.04801464;7.83436346
 65;6.40096092;64.01818848;5.18982887;7.63414860
 66;6.50037622;65.07868195;5.35345936;7.63810921
 67;6.60080719;66.14361572;5.50618172;7.55434752
 68;6.70024109;67.06045532;5.66981220;7.55497503
 69;6.80078220;67.81505585;5.76799107;7.69913387
 70;6.90023184;69.02497101;5.89889622;7.45021725
 71;7.00075197;69.89878082;6.00525570;7.34165621
 72;7.10021210;70.72827148;6.15252399;8.03922558
 73;7.20061302;72.05680847;6.28070164;7.65431166
 74;7.30004311;73.10029602;6.40615177;7.48680115
 75;7.40056181;73.95775604;6.54796505;7.63296890
 76;7.50104713;74.90967560;6.67887020;7.71121073
 77;7.60054922;76.12106323;6.80977535;7.58297014
 78;7.70103502;76.91777039;6.97885990;7.84184694
 79;7.80048800;77.99231720;7.09612942;7.97422171
 80;7.90095901;78.96162415;7.25430584;8.03517056
 81;8.00044918;80.07266235;7.40702820;7.61005592
 82;8.10082912;81.07877350;7.53793240;7.34463978
 83;8.20030594;81.95053864;7.65247440;7.56047773
 84;8.30081463;82.67138672;7.76974297;7.91773224
 85;8.40017986;83.90515137;7.87883091;7.68427134
 86;8.50067425;84.85032654;8.01518917;7.97443295
 87;8.60007954;86.16474915;8.17336655;8.14398479
 88;8.70046043;87.09671783;8.30154419;7.44082880
 89;8.80086040;88.15280151;8.40790367;7.33316469
 90;8.90027142;89.19639587;8.53335476;7.37798595
 91;9.00074863;89.79370117;8.67789459;7.80583811
 92;9.10016441;90.94878387;8.80879974;7.66318893
 93;9.20058060;91.95849609;8.90425110;7.86584663
 94;9.30000305;92.99840546;9.05151939;7.72263813
 95;9.40050507;93.90303040;9.22333145;7.73799610
 96;9.50100040;94.78810883;9.33241844;8.13612747
 97;9.60029411;95.78420258;9.49877739;8.27034092
 98;9.70082474;96.83577728;9.67058945;7.93194103
 99;9.80011940;98.08885956;9.76876831;7.82988930
 100;9.90054321;99.17913055;9.93239880;7.31836510
 101;10.00003910;99.95289612;10.10966587;7.69692230
 102;10.10054970;101.01785278;10.18330002;7.64177895
 103;10.20005417;102.10852814;10.32511330;7.51268339
 104;10.30043983;102.94752502;10.47510815;7.68650961
 105;10.40093994;103.94996643;10.57328701;7.84672642
 106;10.50040627;105.03733063;10.72055435;7.78119326
 107;10.60089588;106.21527863;10.86782265;7.67388535
 108;10.70036697;106.87520599;11.00418186;8.05553818
 109;10.80070591;107.89805603;11.11872387;8.15693283
 110;10.90016460;109.08368683;11.27144527;7.78440952
 111;11.00056076;110.04015350;11.41598606;7.76314449
 112;11.10103607;110.87833405;11.50325584;8.12739944
 113;11.20036602;111.95586395;11.66415977;8.11233902
 114;11.30092144;113.16372681;11.81688213;7.79079628
 115;11.40019989;114.07020569;11.96687698;7.72470903
 116;11.50072575;115.14777374;12.06778336;7.52980614
 117;11.60015583;115.88356781;12.19868755;7.69795322
 118;11.70060062;116.87656403;12.32959270;8.10062408
 119;11.80104733;117.87767029;12.46867847;8.26604462
 120;11.90054131;119.02771759;12.64867306;7.96040440
 121;12.00084591;119.93709564;12.79594040;8.02260494
 122;12.10017014;121.10256195;12.92139149;7.60270357
 123;12.20057106;121.93796539;13.03593254;7.90285397
 124;12.30004501;123.20044708;13.21047211;7.60870457
 125;12.40049744;124.05220032;13.31410599;7.53401804
 126;12.50101089;124.77671814;13.40682983;8.04359627
 127;12.60031223;125.89382935;13.55137062;7.80036163
 128;12.70071125;126.72480011;13.68227577;8.46010113
 129;12.80006504;127.64645386;13.81317902;8.67903519
 130;12.90058708;129.07969666;13.99317360;8.15707397
 131;13.00103092;130.25363159;14.15407753;7.79762936
 132;13.10034561;131.13491821;14.28498268;7.99144173
 133;13.20085526;132.03657532;14.43497849;7.79162693
 134;13.30037594;133.00263977;14.52224731;7.84301233
 135;13.40089130;134.03643799;14.65587997;8.02325058
 136;13.50027180;134.93496704;14.85769081;8.26523590
 137;13.60076714;136.00349426;14.96677780;7.99723577
 138;13.70001030;136.99067688;15.09495544;8.11969852
 139;13.80041981;138.04037476;15.22313309;8.07638931
 140;13.90090561;138.95671082;15.39494514;8.26718998
 141;14.00034142;139.94267273;15.50403404;8.03699398
 142;14.10080624;141.06637573;15.64584732;8.11386108
 143;14.20029831;141.96775818;15.79038811;8.30116081
 144;14.30080318;143.13018799;15.94310951;8.06230736
 145;14.40024853;144.04026794;16.03856087;7.83492327
 146;14.50068188;144.89756775;16.22673607;8.33155060
 147;14.60007668;145.84613037;16.37673187;8.39118099
 148;14.70061779;147.05415344;16.44218445;7.91642475
 149;14.80095673;148.00894165;16.60308838;8.16398239
 150;14.90032291;148.99259949;16.73399162;8.23070621
 151;15.00080204;150.08305359;16.89489555;8.02094841
 152;15.10020065;150.91479492;17.05852699;8.30558109
 153;15.20068741;151.99740601;17.17034149;8.22507668
 154;15.30012703;153.08169556;17.32306480;7.91476154
 155;15.40049458;153.84483337;17.47851372;8.38453197
 156;15.50092220;155.13752747;17.60396385;8.06970692
 157;15.60036087;156.07487488;17.73486900;8.01885414
 158;15.70088768;156.87380981;17.92031670;8.27278519
 159;15.80028152;157.98240662;18.03758621;8.27155495
 160;15.90084934;158.91572571;18.16576385;8.25726128
 161;16.00028801;160.13224792;18.32939339;8.14856625
 162;16.10079384;160.93321228;18.44666290;8.36182404
 163;16.20021820;162.11410522;18.58847618;8.00488663
 164;16.30069923;163.06809998;18.71392632;8.08196640
 165;16.40016365;163.90336609;18.86119461;8.27431583
 166;16.50064468;164.97328186;19.02482605;8.27004051
 167;16.60005569;165.97796631;19.18027496;8.32847977
 168;16.70055962;166.89486694;19.29754448;8.47270584
 169;16.80000877;168.03742981;19.41753960;8.36330605
