Type :,DIL805
Test :,200305 10 Aus 1000°C 30 min iso 740°C 15 min iso 600°C 2h q


;Time;Temperature;Change in Length;HF Power
 1;0.00000000;25.15546799;0.00000000;0.00000000
 2;0.10082800;25.23213577;-0.21817470;0.00000000
 3;0.20027100;25.28965187;-0.20453882;0.02257824
 4;0.30074099;25.32907295;-0.21272016;0.00000000
 5;0.40018600;25.39533424;-0.18544841;0.00000000
 6;0.50071698;25.33017159;-0.18817568;0.00000000
 7;0.60025799;25.17795372;-0.20999312;0.00000000
 8;0.70088899;25.39257431;-0.20453882;0.00000000
 9;0.80038899;25.64266968;-0.21272016;0.00000000
 10;0.90091598;25.48726463;-0.19635725;0.00000000
 11;1.00039899;25.31593323;-0.22090173;0.00000000
 12;1.10094595;25.50149345;-0.17999411;0.93306303
 13;1.20045102;25.51353073;-0.21272016;0.00000000
 14;1.30095696;25.45606613;-0.19908428;0.00000000
 15;1.40048206;25.29789162;-0.22090173;0.00000000
 16;1.50098705;25.13742065;-0.21817470;0.00000000
 17;1.60046196;25.60928917;-0.19362998;1.12971187
 18;1.70103395;25.45989609;-0.20453882;0.00000000
 19;1.80054295;25.32797432;-0.18272114;1.20790839
 20;1.90104997;25.59014130;-0.19362998;0.00000000
 21;2.00052905;25.35915565;-0.19090271;0.00000000
 22;2.10008001;25.53378105;-0.21817470;0.23529351
 23;2.20062995;25.32907295;-0.19635725;0.65105915
 24;2.30012989;25.28582573;-0.20453882;0.62570524
 25;2.40064192;25.40352249;-0.18272114;0.25858456
 26;2.50008202;25.61750221;-0.19635725;0.32591507
 27;2.60061097;25.30279350;-0.18272114;2.00471401
 28;2.70015311;25.33399963;-0.19635725;6.97183180
 29;2.80058193;27.43203735;-0.07908821;7.56309700
 30;2.90103292;29.42031288;0.05181646;6.61270380
 31;3.00042200;30.32953453;0.13363194;6.54847574
 32;3.10089302;31.20233727;0.24271917;6.52930832
 33;3.20037198;31.71837425;0.32453465;6.77762508
 34;3.30084300;32.95285416;0.47998405;6.91612339
 35;3.40027809;33.98476028;0.58907151;6.80345726
 36;3.50078106;34.95115280;0.69543147;6.92147446
 37;3.60020900;35.88283920;0.78270149;7.09246397
 38;3.70069504;36.81756592;0.93269634;7.37242031
 39;3.80016398;37.82023239;1.01996636;7.29256821
 40;3.90059495;38.95590973;1.18087029;7.04586601
 41;4.00002098;39.70088577;1.33359218;7.41566277
 42;4.10057497;40.99038315;1.41268039;6.62925816
 43;4.20097399;41.77183151;1.55176711;7.31232071
 44;4.30028915;42.90176010;1.71267056;7.37931776
 45;4.40084982;43.99377060;1.81630349;7.16694164
 46;4.50037479;44.91265488;1.90630078;7.38341093
 47;4.60101700;46.13677979;2.06175017;7.36161137
 48;4.70051813;47.27001572;2.20356345;7.03251600
 49;4.80104399;47.81631851;2.29356074;7.27111292
 50;4.90052700;48.93046570;2.44901013;7.23955727
 51;5.00001812;50.01348877;2.55537009;7.16811943
 52;5.10053921;51.02410889;2.70263791;7.36671209
 53;5.20103979;52.03001022;2.77899909;7.15602207
 54;5.30048418;53.10247040;2.91535830;7.62912464
 55;5.40000391;54.25704956;3.07898927;6.89960384
 56;5.50045395;54.67251587;3.20443940;7.48301029
 57;5.60094500;55.88701630;3.32716298;7.35118675
 58;5.70039892;56.89208984;3.46624923;7.68534422
 59;5.80100107;57.95541382;3.60533547;7.40665817
 60;5.90052605;59.03124237;3.72533154;7.01041603
 61;6.00006485;60.21457291;3.87532640;7.12644482
 62;6.10065794;61.04727173;4.00350380;7.18346024
 63;6.20017195;61.96220779;4.12622738;7.25157022
 64;6.30073881;62.75550842;4.24622345;7.56982136
 65;6.40025282;64.32314301;4.36894608;7.04839230
 66;6.50074005;65.09049225;4.49712372;6.83405590
 67;6.60012293;65.93159485;4.63075638;7.36960697
 68;6.70048809;67.16371918;4.77529716;7.25719738
 69;6.80100489;68.05840302;4.90347481;7.37603426
 70;6.90049410;69.20085907;5.03165245;7.21461535
 71;7.00004578;70.03055573;5.14619350;7.12215710
 72;7.10065079;70.96791840;5.26891708;7.27695704
 73;7.20015097;72.20259094;5.39164066;6.75376320
 74;7.30061102;72.90731812;5.54981709;7.50154400
