Type :,DIL805
Test :,200306 14 Aus 1000°C 30 min iso 760°C 15 min iso 700°C 2h q


;Time;Temperature;Change in Length;HF Power
 1;0.00000000;23.42995644;0.00000000;0.00000000
 2;0.10077100;23.57989693;-0.18817568;0.00000000
 3;0.20025501;23.56795311;-0.19362998;0.00000000
 4;0.30077100;23.59447479;-0.20726609;0.29083014
 5;0.40030599;23.69528389;-0.21544766;0.00000000
 6;0.50085801;23.42731857;-0.16908550;0.00000000
 7;0.60028100;23.56461716;-0.20726609;0.00000000
 8;0.70078897;23.57390022;-0.19635725;0.00000000
 9;0.80024803;23.74567986;-0.18544865;0.00000000
 10;0.90080500;23.65085220;-0.17999411;0.00000000
 11;1.00031805;23.59652328;-0.20999312;0.00000000
 12;1.10081506;23.67605400;-0.18817568;0.53467393
 13;1.20027995;23.76490784;-0.17726707;0.00000000
 14;1.30081999;23.57595253;-0.16090393;0.00000000
 15;1.40030396;23.75761986;-0.14454079;0.00000000
 16;1.50079596;23.61833954;-0.17181253;0.00000000
 17;1.60023606;23.82988930;-0.18544865;0.00000000
 18;1.70081699;23.80333519;-0.17726707;0.70660353
 19;1.80030704;23.62562561;-0.16635823;0.19885898
 20;1.90084600;23.68331909;-0.12545061;0.19709647
 21;2.00030708;23.85639954;-0.18272138;0.22998840
 22;2.10081291;23.82855225;-0.19090295;0.00000000
 23;2.20023704;23.89684105;-0.17726707;0.30540472
 24;2.30079293;23.94124985;-0.21544766;0.00000000
 25;2.40025711;23.69396973;-0.20999312;1.39731753
 26;2.50079012;23.74570274;-0.16908550;4.73875570
 27;2.60014892;24.65573311;-0.07090688;8.70859528
 28;2.70055294;26.90400314;0.14181328;8.29082394
 29;2.80006504;28.43842506;0.25090075;6.85050726
 30;2.90049791;29.30929375;0.35998797;6.33882952
 31;3.00004005;30.01689148;0.43907619;6.51449251
 32;3.10059500;30.46805382;0.55089068;7.14909935
 33;3.20006108;31.70215225;0.70088577;7.24175215
 34;3.30059195;33.05136871;0.80179167;7.28919506
 35;3.40007496;33.86495590;0.92178750;7.54364538
 36;3.50064301;34.92322159;1.08541846;7.52000856
 37;3.60016203;36.06111908;1.25450397;7.22105312
 38;3.70078802;37.50991440;1.36086392;6.48035336
 39;3.80014706;38.11983871;1.43995237;6.73405552
 40;3.90070891;38.87594223;1.55994844;7.33483267
 41;4.00001717;39.72826385;1.71812487;7.76214314
 42;4.10062981;40.97552872;1.86812019;7.39282131
 43;4.20011282;42.00904465;1.99357033;7.03362465
 44;4.30065918;43.33169174;2.12720251;6.84816885
 45;4.40005779;44.14561081;2.22810793;7.19014549
 46;4.50046492;44.82435608;2.36719418;7.43751621
 47;4.60101509;45.96408081;2.46810007;7.18523979
 48;4.70053101;46.95216751;2.60991383;7.25440311
 49;4.80006981;48.03839111;2.74354553;7.28068066
 50;4.90059185;49.23077774;2.88263178;6.95968819
 51;5.00097084;50.06728745;3.02717257;7.04166222
 52;5.10034084;50.95623016;3.12807846;7.32483101
 53;5.20077085;52.07585907;3.25625610;7.11746454
 54;5.30021095;53.02844620;3.34897995;7.08349895
 55;5.40072107;53.79309082;3.48261213;7.42422581
 56;5.50020981;55.16439438;3.64078856;7.19360447
 57;5.60076809;55.79743195;3.74169445;7.61708021
 58;5.70017099;57.21373749;3.88623524;7.04825020
 59;5.80070782;58.03724670;4.01986694;7.19863510
 60;5.90022182;59.08588791;4.13986301;7.15944862
 61;6.00071478;59.99537659;4.30076694;7.17900562
 62;6.10017776;61.02205276;4.37985516;7.24964428
 63;6.20067883;62.05950165;4.52166843;7.39570713
 64;6.30011415;62.88649368;4.64984608;7.36671352
 65;6.40065384;63.94131088;4.79711342;7.47193336
 66;6.50021076;65.08751678;4.91710949;7.12637186
 67;6.60071087;66.00114441;5.02892399;7.03659296
 68;6.70020008;66.91123199;5.17073822;7.22260284
 69;6.80071592;68.15152740;5.32346058;7.24276924
 70;6.90025711;69.03237915;5.41891193;7.22912216
 71;7.00084782;69.95563507;5.57436085;7.19243574
 72;7.10036182;70.80264282;5.68344784;7.33016539
 73;7.20096922;72.10826874;5.83071613;7.14519072
 74;7.30044889;72.95286560;5.95343971;7.41117001
 75;7.40093994;73.87373352;6.06252670;7.48419285
 76;7.50037909;74.89842224;6.20979500;7.72065163
 77;7.60086918;75.95614624;6.32433605;7.36615467
 78;7.70029879;77.15948486;6.46615028;7.01743221
 79;7.80081987;78.11597443;6.55887413;7.14784336
 80;7.90028620;78.88317871;6.70341492;7.32301235
 81;8.00078106;79.89427185;6.83159256;7.57440948
 82;8.10021687;80.83386993;6.96795177;7.56603146
 83;8.20077705;82.19800568;7.10431099;7.18349457
 84;8.30032825;83.10700226;7.18612576;7.04664898
 85;8.40089703;83.97101593;7.35521126;7.01941729
 86;8.50034809;84.86813354;7.43975449;7.29772282
 87;8.60094929;85.93114471;7.58974934;7.37866306
 88;8.70048428;86.96462250;7.76156139;7.56811857
 89;8.80102158;87.90715790;7.85974026;7.41873980
 90;8.90047455;88.79866028;8.00700760;7.41864586
 91;9.00098515;90.01065826;8.10791397;7.55257845
 92;9.10048199;91.09271240;8.27699947;7.17467880
 93;9.20102596;91.85881805;8.43790245;7.53847218
 94;9.30052185;92.91924286;8.51426411;7.50603628
 95;9.40007305;94.10112000;8.66971302;7.28092003
 96;9.50060272;95.06134033;8.75698280;7.21551323
 97;9.60003281;96.12228394;8.90152359;7.12757158
 98;9.70057869;97.09545898;9.03788280;7.21819973
 99;9.80010319;98.04517365;9.18515110;7.29195356
 100;9.90064907;99.07574463;9.29969215;7.26897001
 101;10.00018406;100.12365723;9.41696167;7.39896584
 102;10.10077572;100.67777252;9.53695774;7.77447605
 103;10.20022488;101.92366791;9.66513538;7.32703018
 104;10.30082226;102.82253265;9.80967617;7.73740864
 105;10.40030575;103.95799255;9.92149067;6.95278645
 106;10.50077724;104.94758606;10.05512238;7.12983894
 107;10.60009575;105.88142395;10.18330002;7.55963707
 108;10.70064735;106.91969299;10.32784081;7.50664902
 109;10.80014324;107.87432098;10.47510815;7.44178677
 110;10.90065861;108.81601715;10.61146736;7.50480413
 111;11.00012684;109.93928528;10.73691750;7.52140427
 112;11.10070419;111.16377258;10.86509514;7.28852224
 113;11.20026016;112.21943665;10.96327400;7.16168451
 114;11.30077076;112.99745178;11.07236099;7.37881136
 115;11.40032578;113.97324371;11.24962807;7.56701946
