Type :,DIL805
Test :,200305 09 Aus 1000°C 30 min iso 740°C 15 min iso 500°C 2h q


;Time;Temperature;Change in Length;HF Power
 1;0.00000000;25.64095116;0.00000000;0.00000000
 2;0.10075400;26.03251076;-0.18817544;0.00000000
 3;0.20005400;25.89123726;-0.20453858;0.00000000
 4;0.30048400;25.83381844;-0.16635799;0.00000000
 5;0.40093499;25.76460457;-0.17181253;0.00000000
 6;0.50037998;25.63646507;-0.16090369;0.00000000
 7;0.60080498;26.34158516;-0.22908330;0.00000000
 8;0.70028901;25.72793579;-0.17999411;0.00000000
 9;0.80075997;25.78536606;-0.15817666;0.00000000
 10;0.90011400;25.72631454;-0.18817544;0.38063765
 11;1.00064003;26.06060791;-0.18817544;0.00000000
 12;1.10001397;26.01502037;-0.18544841;0.00000000
 13;1.20048404;26.07383347;-0.21544743;0.00000000
 14;1.30094600;26.06063080;-0.19362998;0.93436837
 15;1.40035999;25.83097649;-0.20181155;0.34456730
 16;1.50086999;25.72344780;-0.20181155;1.00850224
 17;1.60024905;25.74989700;-0.20726585;0.00000000
 18;1.70073998;25.77333260;-0.19362998;0.11688828
 19;1.80019104;25.86334801;-0.20453858;0.00000000
 20;1.90060997;26.15034866;-0.19090271;0.00000000
 21;2.00004005;25.83524132;-0.17181253;0.46205223
 22;2.10056591;25.66458511;-0.19362998;0.00000000
 23;2.20100188;25.87516022;-0.19908428;0.00000000
 24;2.30043602;25.59816742;-0.20999312;0.67147970
 25;2.40088701;25.73219872;-0.23181057;0.14481850
 26;2.50030994;25.75134277;-0.19362998;0.54273522
 27;2.60079193;26.09275055;-0.21817446;1.49596274
 28;2.70020604;25.88533211;-0.18272114;4.97232389
 29;2.80050611;27.47558784;-0.13090467;6.71833515
 30;2.90085196;28.99613190;0.04090786;6.51042652
 31;3.00025010;30.18343544;0.10090590;6.08329344
 32;3.10071993;31.35623360;0.17999411;5.54424524
 33;3.20005894;32.46951675;0.27544546;5.20717573
 34;3.30052400;33.17744064;0.38453269;5.36643314
 35;3.40101099;34.03595734;0.52634621;4.80714703
 36;3.50032401;35.28857422;0.58361721;5.03980732
 37;3.60064411;35.50367737;0.63270640;6.01395655
 38;3.70103407;36.32930374;0.77724719;7.10014391
 39;3.80027294;37.99787521;0.94633245;7.15335798
 40;3.90068197;39.32156754;1.03905678;6.89291286
 41;4.00104809;40.13047791;1.16177988;6.71833467
 42;4.10040808;40.80136108;1.27904892;7.15566540
 43;4.20073223;41.92387772;1.41268063;6.85153437
 44;4.30006218;42.88607788;1.57903862;7.33988237
 45;4.40042591;43.97254181;1.64721823;7.35143948
 46;4.50093222;44.95330429;1.79994059;7.08453274
 47;4.60029078;46.11971664;1.93084526;7.25759411
 48;4.70075083;47.08324814;2.02629662;7.31822443
 49;4.80018711;48.03666306;2.13811111;7.08701181
 50;4.90062189;49.08881760;2.29901505;7.01075506
 51;5.00004292;49.83124161;2.43810129;7.32526493
 52;5.10053587;51.11425400;2.57446051;7.02593994
 53;5.20099211;51.73077011;2.68354797;7.54316616
 54;5.30043221;53.04488373;2.80899811;6.91977119
 55;5.40074110;54.29848862;2.95626593;6.91165352
 56;5.50020123;54.76557922;3.05989885;7.37317562
 57;5.60058689;56.00387192;3.19898510;7.18598938
 58;5.70101309;56.97420883;3.29443645;7.09258842
 59;5.80039501;58.07463455;3.49352121;7.10293484
 60;5.90086222;59.04504776;3.59442663;7.14228249
 61;6.00027609;60.12851334;3.68169641;6.91602993
 62;6.10060596;61.16746521;3.84805512;6.84593010
 63;6.20101213;61.99927139;3.99259496;7.28967571
 64;6.30034494;63.24255371;4.09895515;6.95997810
 65;6.40067101;63.79747009;4.25167751;7.48410606
 66;6.50103521;65.22339630;4.34440136;7.05869579
 67;6.60047007;65.75997162;4.48076057;7.45403528
 68;6.70099592;67.24382019;4.64984608;6.76198435
 69;6.80029392;67.92391205;4.75893307;7.30947304
 70;6.90066385;69.08097076;4.91165543;7.18541861
 71;7.00004816;70.23685455;5.01256180;6.78620863
 72;7.10041285;71.02668762;5.13801193;7.21261263
 73;7.20078802;71.80751801;5.29891586;7.67636681
 74;7.30017185;73.13732910;5.39436722;7.29715729
 75;7.40073919;74.10393524;5.53072643;7.05568790
 76;7.50011015;75.12459564;5.63163185;7.33478355
 77;7.60057878;76.13913727;5.82526207;7.02683353
 78;7.70000792;77.15042114;5.96707535;6.94961834
 79;7.80034304;77.90467072;6.05161858;7.41678619
 80;7.90076780;79.09834290;6.22615814;6.89609003
 81;8.00004673;79.87211609;6.29161072;7.30074596
 82;8.10031700;81.11392975;6.40342522;6.90407372
 83;8.20070744;81.98677826;6.58887291;7.26314259
 84;8.30102062;83.15290070;6.73068714;6.94568825
 85;8.40035057;83.96735382;6.84795570;7.02838039
 86;8.50063133;84.99220276;6.96522427;7.46367931
 87;8.60104465;85.93788147;7.11249256;7.15012646
 88;8.70041466;86.94694519;7.26521492;7.02404928
 89;8.80086517;88.02666473;7.36066628;7.02715302
 90;8.90032482;88.82337189;7.51884270;7.26168394
 91;9.00080013;89.95602417;7.65792847;7.14060688
 92;9.10016441;91.03862762;7.81337833;7.02602768
 93;9.20063114;91.90408325;7.95519161;7.30118942
 94;9.30000877;93.00704193;8.08609676;7.20952129
 95;9.40054035;93.64228058;8.18972969;7.74379253
 96;9.50098038;95.02584839;8.33154297;7.35634375
 97;9.60039043;96.21288300;8.45153904;7.04077148
 98;9.70086002;97.09676361;8.56880760;7.03140497
 99;9.80021858;98.03141022;8.70789433;7.32663727
 100;9.90063000;98.90964508;8.87425232;7.57077456
 101;10.00002003;100.17172241;9.00242996;7.14634657
 102;10.10047531;101.08566284;9.11151695;7.09233952
 103;10.20090580;102.21163177;9.23151302;7.13844681
 104;10.30034542;102.85383606;9.35969067;7.24517918
 105;10.40079594;104.01875305;9.48514080;7.27780151
 106;10.50016022;104.96047974;9.67331696;7.36336327
 107;10.60059547;106.05438232;9.77422237;7.26406622
 108;10.70006275;106.84861755;9.90240002;7.27383995
 109;10.80049992;108.09008026;10.03057766;7.16530514
 110;10.90098953;109.00969696;10.15602779;7.21373653
 111;11.00041962;110.28007507;10.29238701;7.30492163
 112;11.10093594;110.95127106;10.41783810;7.32884836
 113;11.20041561;111.88351440;10.56783295;7.34637833
 114;11.30092621;113.12632751;10.68510151;7.27005863
 115;11.40040684;114.10433197;10.82418823;7.51056480
 116;11.50087166;115.05116272;10.98509121;7.36611557
 117;11.60029697;116.05428314;11.10236073;7.51671839
 118;11.70068169;117.11348724;11.26053715;7.21843052
 119;11.80009747;118.00982666;11.40780449;7.55008221
 120;11.90051270;119.01641846;11.54143715;7.45149612
 121;12.00091171;119.95139313;11.62870693;7.22079182
 122;12.10032654;121.01183319;11.79506493;7.25962067
 123;12.20085812;122.02787018;11.91506100;7.52128506
 124;12.30028152;123.29120636;12.06778336;7.01768398
 125;12.40070248;124.03968048;12.17959785;7.10502338
 126;12.50017834;125.06485748;12.33777428;7.19209480
 127;12.60055733;126.01697540;12.48231506;7.42786884
 128;12.70101261;127.01449585;12.59412956;7.26628780
 129;12.80045223;127.81147766;12.74412441;7.19554377
 130;12.90091896;129.18766785;12.85048485;7.15895557
 131;13.00026226;130.01649475;13.00320721;7.38252735
 132;13.10077858;130.91854858;13.12865734;7.40513611
 133;13.20019341;132.01100159;13.24592686;7.25269890
 134;13.30064774;133.16494751;13.40137577;7.13791656
 135;13.40005875;133.96569824;13.53500652;7.55706596
 136;13.50050735;135.05496216;13.64409542;7.37738180
 137;13.60097790;135.99249268;13.79408932;7.47994232
 138;13.70037270;136.94160461;13.94135761;7.37839174
 139;13.80088520;137.96635437;14.06680775;7.38101530
 140;13.90025806;138.78807068;14.22225666;7.82156992
 141;14.00072384;139.93525696;14.35861683;7.53859282
 142;14.10015678;141.17340088;14.50315762;7.26487589
 143;14.20058823;142.20440674;14.66133404;7.23442984
